kepler_name,koi_period,koi_teq,koi_prad,koi_smass,koi_disposition,koi_score,koi_steff,koi_srad,koi_impact
,40.4195037,467.0,7.51,0.7140,CANDIDATE,0.9990,5446.00,0.7810,0.911
Kepler-674 b,2.243380573,822.0,1.99,0.5780,CONFIRMED,1.0000,4149.00,0.5640,0.915
,10.405998015,833.0,11.23,0.7700,FALSE POSITIVE,0.0000,5746.00,0.9240,0.324
Kepler-675 b,2.337437946,1070.0,2.34,0.8500,CONFIRMED,1.0000,5005.00,0.7650,0.28
,7.2406612,734.0,19.45,0.8500,CANDIDATE,0.9930,5005.00,0.7650,1.198
,3.43591631,1272.0,0.55,0.9410,CANDIDATE,0.8710,5779.00,1.0870,0.624
Kepler-676 b,11.59822233,396.0,2.65,0.5030,CONFIRMED,1.0000,3688.00,0.4730,0.679
Kepler-677 b,6.575315881,1015.0,5.31,0.9270,CONFIRMED,1.0000,5992.00,0.9890,0.39
Kepler-678 b,7.275040844,833.0,4.86,0.9860,CONFIRMED,1.0000,5485.00,0.8670,0.547
Kepler-231 c,19.27153892,393.0,1.93,0.5760,CONFIRMED,1.0000,4077.00,0.5600,0.031
Kepler-231 b,10.06524317,488.0,1.91,0.5760,CONFIRMED,1.0000,4077.00,0.5600,0.628
Kepler-679 b,12.3935651,677.0,2.66,0.8320,CONFIRMED,1.0000,5557.00,0.7500,0.883
Kepler-106 e,43.84439721,531.0,2.87,0.9510,CONFIRMED,0.9980,5854.00,1.0120,0.852
,3.341913228,1032.0,21.55,0.8530,FALSE POSITIVE,0.0000,5295.00,0.8110,1.213
,1.626630225,1547.0,32.43,0.8890,FALSE POSITIVE,0.7730,5735.00,0.9730,1.26
Kepler-234 b,2.711504086,1420.0,3.12,1.1690,CONFIRMED,1.0000,6214.00,1.0760,0.023
Kepler-234 c,7.21203748,1025.0,3.32,1.1690,CONFIRMED,1.0000,6214.00,1.0760,0.012
,14.1798187,711.0,1.88,0.9750,FALSE POSITIVE,,5799.00,0.8780,0.1601
Kepler-233 b,8.47237911,751.0,2.59,0.8840,CONFIRMED,1.0000,5354.00,0.7880,0.022
Kepler-233 c,60.4189369,390.0,2.36,0.8840,CONFIRMED,0.9890,5354.00,0.7880,0.094
Kepler-682 b,12.611904345,753.0,7.4,0.9920,CONFIRMED,1.0000,5795.00,0.9190,0.55
,1.433769925,1920.0,46.58,1.0830,FALSE POSITIVE,0.0000,6017.00,1.3390,1.268
,10.31872301,876.0,28.59,1.0500,FALSE POSITIVE,0.0000,5927.00,1.0600,1.215
Kepler-683 b,2.539183147,1332.0,2.06,0.9210,CONFIRMED,1.0000,5519.00,1.0620,0.238
Kepler-684 b,6.770300385,812.0,2.77,0.7670,CONFIRMED,1.0000,5653.00,0.6790,0.838
,0.444291966,1836.0,27.51,0.7090,FALSE POSITIVE,0.0000,5255.00,0.6360,1.258
,10.181584004,812.0,7.73,0.8850,CANDIDATE,1.0000,5988.00,0.8360,0.92
Kepler-235 d,20.06036336,361.0,1.96,0.5020,CONFIRMED,1.0000,3950.00,0.4930,0.556
Kepler-235 e,46.1842039,273.0,1.83,0.5020,CONFIRMED,1.0000,3950.00,0.4930,0.013
Kepler-106 d,23.9800854,649.0,1.31,0.9510,CONFIRMED,0.9520,5854.00,1.0120,0.95
Kepler-235 c,7.82502168,494.0,1.2,0.5020,CONFIRMED,0.9940,3950.00,0.4930,0.708
Kepler-688 b,3.895936525,1005.0,7.34,0.8660,CONFIRMED,1.0000,5557.00,0.7740,0.524
Kepler-689 b,22.36646466,536.0,2.32,0.8210,CONFIRMED,0.9990,5395.00,0.7340,0.4
Kepler-685 b,1.625522174,1579.0,9.73,0.9350,CONFIRMED,1.0000,5539.00,1.1060,0.076
,19.620346923,643.0,13.6,0.9280,CANDIDATE,1.0000,5710.00,0.9050,0.458
,7.544039,838.0,17.47,0.9190,FALSE POSITIVE,0.0000,5657.00,0.8240,1.175
Kepler-1727 b,9.02930689,757.0,2.57,0.8240,CONFIRMED,1.0000,5349.00,0.8200,0.024
,10.328035714,843.0,13.28,0.8740,FALSE POSITIVE,0.0530,5627.00,1.0240,0.281
Kepler-30 d,143.2063047,308.0,8.9,0.9860,CONFIRMED,1.0000,5485.00,0.8670,0.379
Kepler-106 b,6.164876,1021.0,0.79,0.9510,CONFIRMED,0.9500,5854.00,1.0120,0.646
Kepler-30 c,60.32494216,411.0,12.19,0.9860,CONFIRMED,0.7450,5485.00,0.8670,0.224
Kepler-30 b,29.1598615,524.0,1.91,0.9860,CONFIRMED,,5485.00,0.8670,0.3619
,1.540397253,1470.0,25.69,1.0340,FALSE POSITIVE,0.0000,5663.00,0.9150,1.225
,2.99025443,918.0,1.7,0.7370,FALSE POSITIVE,0.0000,4667.00,0.7310,0.014
Kepler-686 b,1.594745374,1539.0,11.3,0.9010,CONFIRMED,1.0000,5934.00,0.8930,0.514
Kepler-1728 b,4.783002698,886.0,2.5,0.8910,CONFIRMED,1.0000,5170.00,0.8070,0.003
Kepler-687 b,20.50588921,518.0,3.41,0.7390,CONFIRMED,1.0000,4905.00,0.7610,0.26
Kepler-235 b,3.340218842,656.0,2.03,0.5020,CONFIRMED,1.0000,3950.00,0.4930,0.466
,2.507089906,1326.0,30.26,1.0300,FALSE POSITIVE,0.0000,5926.00,0.9390,1.255
Kepler-53 b,18.64932728,701.0,3.12,1.0260,CONFIRMED,1.0000,5775.00,1.0530,0.08
Kepler-107 c,4.90144976,1262.0,1.7,1.1130,CONFIRMED,1.0000,5847.00,1.4020,0.529
Kepler-53 d,9.75192101,870.0,2.76,1.0260,CONFIRMED,0.9980,5775.00,1.0530,0.949
